HomeTeam,AwayTeam,Winner,Player,GoalTime
Norway,San Marino,San Marino,Mattia Stefanelli,54
Norway,San Marino,Norway,Adama Diomande,77
Norway,San Marino,Norway,Martin Samuelsen,82
Norway,San Marino,Norway,Joshua King,83
Poland,Armenia,Poland,Hrayr Mkoyan,48
Poland,Armenia,Armenia,Marcos Pizzelli,50
Poland,Armenia,Poland,Robert Lewandowski,90
Qatar,Syria,Qatar,Hassan Al-Haydos,37
Saudi Arabia,United Arab Emirates,Saudi Arabia,Fahad Al-Muwallad,73
Saudi Arabia,United Arab Emirates,Saudi Arabia,Nawaf Al-Abed,79
Saudi Arabia,United Arab Emirates,Saudi Arabia,Yahya Al-Shehri,90
Slovakia,Scotland,Slovakia,Róbert Mak,18
Slovakia,Scotland,Slovakia,Róbert Mak,56
Slovakia,Scotland,Slovakia,Adam Nemec,68
Uzbekistan,China PR,Uzbekistan,Marat Bikmaev,50
Uzbekistan,China PR,Uzbekistan,Otabek Shukurov,85
Venezuela,Brazil,Brazil,Gabriel Jesus,7
Venezuela,Brazil,Brazil,Willian,53
Brazil,Argentina,Brazil,Philippe Coutinho,25
Brazil,Argentina,Brazil,Neymar,45
Brazil,Argentina,Brazil,Paulinho,58
Paraguay,Peru,Paraguay,Cristian Riveros,10
Paraguay,Peru,Peru,Christian Ramos,49
Paraguay,Peru,Peru,Edison Flores,71
Paraguay,Peru,Peru,Christian Cueva,79
Paraguay,Peru,Peru,Édgar Benítez,84
Uruguay,Ecuador,Uruguay,Sebastián Coates,12
Uruguay,Ecuador,Ecuador,Felipe Caicedo,44
Uruguay,Ecuador,Uruguay,Diego Rolán,45
Venezuela,Bolivia,Venezuela,Jacobo Kouffati,2
Venezuela,Bolivia,Venezuela,Josef Martínez,10
Venezuela,Bolivia,Venezuela,Josef Martínez,67
Venezuela,Bolivia,Venezuela,Josef Martínez,69
Venezuela,Bolivia,Venezuela,Rómulo Otero,74
Armenia,Montenegro,Montenegro,Damir Kojašević,36
Armenia,Montenegro,Montenegro,Stevan Jovetić,38
Armenia,Montenegro,Armenia,Artak Grigoryan,50
Armenia,Montenegro,Armenia,Varazdat Haroyan,74
Armenia,Montenegro,Armenia,Gevorg Ghazaryan,90
Czech Republic,Norway,Czech Republic,Michael Krmenčík,11
Czech Republic,Norway,Czech Republic,Jaromír Zmrhal,47
Czech Republic,Norway,Norway,Joshua King,87
Denmark,Kazakhstan,Denmark,Andreas Cornelius,15
Denmark,Kazakhstan,Kazakhstan,Gafurzhan Suyumbayev,17
Denmark,Kazakhstan,Denmark,Christian Eriksen,36
Denmark,Kazakhstan,Denmark,Peter Ankersen,78
Denmark,Kazakhstan,Denmark,Christian Eriksen,90
England,Scotland,England,Daniel Sturridge,23
England,Scotland,England,Adam Lallana,50
England,Scotland,England,Gary Cahill,61
France,Sweden,Sweden,Emil Forsberg,55
France,Sweden,France,Paul Pogba,58
France,Sweden,France,Dimitri Payet,65
Honduras,Panama,Panama,Fidel Escobar,22
Libya,Tunisia,Tunisia,Wahbi Khazri,50
Malta,Slovenia,Slovenia,Benjamin Verbič,47
Northern Ireland,Azerbaijan,Northern Ireland,Kyle Lafferty,27
Northern Ireland,Azerbaijan,Northern Ireland,Gareth McAuley,40
Northern Ireland,Azerbaijan,Northern Ireland,Conor McLaughlin,66
Northern Ireland,Azerbaijan,Northern Ireland,Chris Brunt,83
Romania,Poland,Poland,Kamil Grosicki,11
Romania,Poland,Poland,Robert Lewandowski,83
Romania,Poland,Poland,Robert Lewandowski,90
San Marino,Germany,Germany,Sami Khedira,7
San Marino,Germany,Germany,Serge Gnabry,9
San Marino,Germany,Germany,Jonas Hector,32
San Marino,Germany,Germany,Serge Gnabry,58
San Marino,Germany,Germany,Jonas Hector,65
San Marino,Germany,Germany,Serge Gnabry,76
San Marino,Germany,Germany,Mattia Stefanelli,82
San Marino,Germany,Germany,Kevin Volland,85
Slovakia,Lithuania,Slovakia,Adam Nemec,12
Slovakia,Lithuania,Slovakia,Juraj Kucka,15
Slovakia,Lithuania,Slovakia,Martin Škrtel,36
Slovakia,Lithuania,Slovakia,Marek Hamšík,86
Trinidad and Tobago,Costa Rica,Costa Rica,Christian Bolaños,65
Trinidad and Tobago,Costa Rica,Costa Rica,Rónald Matarrita,90
United States,Mexico,Mexico,Miguel Layún,20
United States,Mexico,United States,Bobby Wood,49
United States,Mexico,Mexico,Rafael Márquez,89
Albania,Israel,Israel,Eran Zahavi,18
Albania,Israel,Israel,Dan Einbinder,66
Albania,Israel,Israel,Eliran Atar,83
Austria,Republic of Ireland,Republic of Ireland,James McClean,48
Cameroon,Zambia,Zambia,Collins Mbesuma,34
Cameroon,Zambia,Cameroon,Vincent Aboubakar,45
Cape Verde,Burkina Faso,Burkina Faso,Issoufou Dayo,2
Cape Verde,Burkina Faso,Burkina Faso,Préjuce Nakoulma,28
Croatia,Iceland,Croatia,Marcelo Brozović,15
Croatia,Iceland,Croatia,Marcelo Brozović,90
Georgia,Moldova,Georgia,Valeri Qazaishvili,16
Georgia,Moldova,Moldova,Alexandru Gațcan,78
Liechtenstein,Italy,Italy,Andrea Belotti,11
Liechtenstein,Italy,Italy,Ciro Immobile,12
Liechtenstein,Italy,Italy,Antonio Candreva,32
Liechtenstein,Italy,Italy,Andrea Belotti,44
New Zealand,New Caledonia,New Zealand,Marco Rojas,42
New Zealand,New Caledonia,New Zealand,Marco Rojas,72
Nigeria,Algeria,Nigeria,Victor Moses,24
Nigeria,Algeria,Nigeria,Mikel John Obi,41
Nigeria,Algeria,Algeria,Nabil Bentaleb,66
Nigeria,Algeria,Nigeria,Victor Moses,90
Spain,North Macedonia,Spain,Darko Velkovski,34
Spain,North Macedonia,Spain,Vitolo,63
Spain,North Macedonia,Spain,Nacho Monreal,84
Spain,North Macedonia,Spain,Aritz Aduriz,85
Turkey,Kosovo,Turkey,Burak Yılmaz,51
Turkey,Kosovo,Turkey,Volkan Şen,55
Uganda,Congo,Uganda,Farouk Miya,17
Ukraine,Finland,Ukraine,Artem Kravets,25
Wales,Serbia,Wales,Gareth Bale,30
Wales,Serbia,Serbia,Aleksandar Mitrović,86
Belgium,Estonia,Belgium,Thomas Meunier,8
Belgium,Estonia,Belgium,Dries Mertens,16
Belgium,Estonia,Belgium,Eden Hazard,25
Belgium,Estonia,Estonia,Henri Anier,29
Belgium,Estonia,Belgium,Yannick Carrasco,62
Belgium,Estonia,Belgium,Ragnar Klavan,64
Belgium,Estonia,Belgium,Dries Mertens,68
Belgium,Estonia,Belgium,Romelu Lukaku,83
Belgium,Estonia,Belgium,Romelu Lukaku,88
Bulgaria,Belarus,Bulgaria,Ivelin Popov,10
Cyprus,Gibraltar,Cyprus,Konstantinos Laifis,29
Cyprus,Gibraltar,Gibraltar,Lee Casciaro,51
Cyprus,Gibraltar,Cyprus,Pieros Sotiriou,65
Cyprus,Gibraltar,Cyprus,Valentinos Sielis,87
Egypt,Ghana,Egypt,Mohamed Salah,42
Egypt,Ghana,Egypt,Abdallah El Said,85
Greece,Bosnia and Herzegovina,Bosnia and Herzegovina,Miralem Pjanić,32
Greece,Bosnia and Herzegovina,Greece,Georgios Tzavellas,90
Guinea,DR Congo,Guinea,Seydouba Soumah,23
Guinea,DR Congo,DR Congo,Neeskens Kebano,54
Guinea,DR Congo,DR Congo,Yannick Bolasie,57
Hungary,Andorra,Hungary,Zoltán Gera,34
Hungary,Andorra,Hungary,Ádám Lang,43
Hungary,Andorra,Hungary,Ádám Gyurcsó,73
Hungary,Andorra,Hungary,Ádám Szalai,88
Luxembourg,Netherlands,Netherlands,Arjen Robben,36
Luxembourg,Netherlands,Luxembourg,Maxime Chanot,44
Luxembourg,Netherlands,Netherlands,Memphis Depay,58
Luxembourg,Netherlands,Netherlands,Memphis Depay,84
Portugal,Latvia,Portugal,Cristiano Ronaldo,28
Portugal,Latvia,Latvia,Artūrs Zjuzins,67
Portugal,Latvia,Portugal,William Carvalho,70
Portugal,Latvia,Portugal,Cristiano Ronaldo,85
Portugal,Latvia,Portugal,Bruno Alves,90
Solomon Islands,Tahiti,Solomon Islands,Emmanuel Poila,90
Switzerland,Faroe Islands,Switzerland,Eren Derdiyok,27
Switzerland,Faroe Islands,Switzerland,Stephan Lichtsteiner,83
Argentina,Colombia,Argentina,Lionel Messi,10
Argentina,Colombia,Argentina,Lucas Pratto,22
Argentina,Colombia,Argentina,Ángel Di María,84
Bolivia,Paraguay,Bolivia,Gustavo Gómez,77
Chile,Uruguay,Uruguay,Edinson Cavani,16
Chile,Uruguay,Chile,Eduardo Vargas,45
Chile,Uruguay,Chile,Alexis Sánchez,60
Chile,Uruguay,Chile,Alexis Sánchez,75
Costa Rica,United States,Costa Rica,Johan Venegas,44
Costa Rica,United States,Costa Rica,Christian Bolaños,68
Costa Rica,United States,Costa Rica,Joel Campbell,74
Costa Rica,United States,Costa Rica,Joel Campbell,78
Ecuador,Venezuela,Ecuador,Arturo Mina,50
Ecuador,Venezuela,Ecuador,Miller Bolaños,84
Ecuador,Venezuela,Ecuador,Enner Valencia,87
Honduras,Trinidad and Tobago,Honduras,Romell Quioto,16
Honduras,Trinidad and Tobago,Honduras,Emilio Izaguirre,19
Honduras,Trinidad and Tobago,Trinidad and Tobago,Carlyle Mitchell,52
Honduras,Trinidad and Tobago,Honduras,Eddie Hernández,81
Japan,Saudi Arabia,Japan,Hiroshi Kiyotake,45
Japan,Saudi Arabia,Japan,Genki Haraguchi,80
Japan,Saudi Arabia,Saudi Arabia,Omar Hawsawi,90
Peru,Brazil,Brazil,Gabriel Jesus,57
Peru,Brazil,Brazil,Renato Augusto,78
South Korea,Uzbekistan,Uzbekistan,Marat Bikmaev,25
South Korea,Uzbekistan,South Korea,Nam Tae-hee,67
South Korea,Uzbekistan,South Korea,Koo Ja-cheol,85
Thailand,Australia,Australia,Mile Jedinak,9
Thailand,Australia,Thailand,Teerasil Dangda,20
Thailand,Australia,Thailand,Teerasil Dangda,57
Thailand,Australia,Australia,Mile Jedinak,65
United Arab Emirates,Iraq,United Arab Emirates,Ahmed Khalil,26
United Arab Emirates,Iraq,United Arab Emirates,Ismail Matar,90
Burkina Faso,Cameroon,Cameroon,Benjamin Moukandjo,35
Burkina Faso,Cameroon,Burkina Faso,Issoufou Dayo,75
Gabon,Guinea-Bissau,Gabon,Pierre-Emerick Aubameyang,52
Gabon,Guinea-Bissau,Guinea-Bissau,Juary Soares,90
Algeria,Zimbabwe,Algeria,Riyad Mahrez,12
Algeria,Zimbabwe,Zimbabwe,Kudakwashe Mahachi,17
Algeria,Zimbabwe,Zimbabwe,Nyasha Mushekwi,29
Algeria,Zimbabwe,Algeria,Riyad Mahrez,82
Tunisia,Senegal,Senegal,Sadio Mané,10
Tunisia,Senegal,Senegal,Kara Mbodji,30
DR Congo,Morocco,DR Congo,Junior Kabananga,55
Ghana,Uganda,Ghana,André Ayew,32
Cameroon,Guinea-Bissau,Guinea-Bissau,Piqueti,13
Cameroon,Guinea-Bissau,Cameroon,Sébastien Siani,61
Cameroon,Guinea-Bissau,Cameroon,Michael Ngadeu-Ngadjui,78
Gabon,Burkina Faso,Burkina Faso,Préjuce Nakoulma,23
Gabon,Burkina Faso,Gabon,Pierre-Emerick Aubameyang,38
Algeria,Tunisia,Tunisia,Aïssa Mandi,50
Algeria,Tunisia,Tunisia,Naïm Sliti,66
Algeria,Tunisia,Algeria,Sofiane Hanni,90
Senegal,Zimbabwe,Senegal,Sadio Mané,9
Senegal,Zimbabwe,Senegal,Henri Saivet,13
Ivory Coast,DR Congo,DR Congo,Neeskens Kebano,10
Ivory Coast,DR Congo,Ivory Coast,Wilfried Bony,25
Ivory Coast,DR Congo,DR Congo,Junior Kabananga,28
Ivory Coast,DR Congo,Ivory Coast,Serey Dié,67
Morocco,Togo,Togo,Mathieu Dossevi,5
Morocco,Togo,Morocco,Aziz Bouhaddouz,14
Morocco,Togo,Morocco,Romain Saïss,21
Morocco,Togo,Morocco,Youssef En-Nesyri,72
Egypt,Uganda,Egypt,Abdallah El Said,89
Ghana,Mali,Ghana,Asamoah Gyan,21
Guinea-Bissau,Burkina Faso,Burkina Faso,Rudinilson Silva,12
Guinea-Bissau,Burkina Faso,Burkina Faso,Bertrand Traoré,58
Senegal,Algeria,Algeria,Islam Slimani,10
Senegal,Algeria,Senegal,Papakouli Diop,43
Senegal,Algeria,Algeria,Islam Slimani,52
Senegal,Algeria,Senegal,Moussa Sow,53
Zimbabwe,Tunisia,Tunisia,Naïm Sliti,9
Zimbabwe,Tunisia,Tunisia,Youssef Msakni,22
Zimbabwe,Tunisia,Tunisia,Taha Yassine Khenissi,36
Zimbabwe,Tunisia,Zimbabwe,Knowledge Musona,42
Zimbabwe,Tunisia,Tunisia,Wahbi Khazri,45
Zimbabwe,Tunisia,Zimbabwe,Tendai Ndoro,58
Morocco,Ivory Coast,Morocco,Rachid Alioui,64
Togo,DR Congo,DR Congo,Junior Kabananga,29
Togo,DR Congo,DR Congo,Firmin Ndombe Mubele,54
Togo,DR Congo,Togo,Kodjo Fo-Doh Laba,69
Togo,DR Congo,DR Congo,Paul-José M'Poku,80
Egypt,Ghana,Egypt,Mohamed Salah,11
Uganda,Mali,Uganda,Farouk Miya,70
Uganda,Mali,Mali,Yves Bissouma,73
Burkina Faso,Tunisia,Burkina Faso,Aristide Bancé,81
Burkina Faso,Tunisia,Burkina Faso,Préjuce Nakoulma,85
DR Congo,Ghana,Ghana,Jordan Ayew,63
DR Congo,Ghana,DR Congo,Paul-José M'Poku,68
DR Congo,Ghana,Ghana,André Ayew,78
Egypt,Morocco,Egypt,Kahraba,88
Burkina Faso,Egypt,Egypt,Mohamed Salah,66
Burkina Faso,Egypt,Burkina Faso,Aristide Bancé,73
Cameroon,Ghana,Cameroon,Michael Ngadeu-Ngadjui,72
Cameroon,Ghana,Cameroon,Christian Bassogog,90
Burkina Faso,Ghana,Burkina Faso,Alain Traoré,89
Egypt,Cameroon,Egypt,Mohamed Elneny,22
Egypt,Cameroon,Cameroon,Nicolas Nkoulou,59
Egypt,Cameroon,Cameroon,Vincent Aboubakar,88
Argentina,Chile,Argentina,Lionel Messi,15
China PR,South Korea,China PR,Yu Dabao,35
Colombia,Bolivia,Colombia,James Rodríguez,83
Iraq,Australia,Australia,Mathew Leckie,40
Iraq,Australia,Iraq,Ahmed Yasin Ghani,76
Papua New Guinea,Tahiti,Papua New Guinea,Nigel Dabinyaba,45
Papua New Guinea,Tahiti,Tahiti,Sylvain Graglia,59
Papua New Guinea,Tahiti,Tahiti,Sylvain Graglia,85
Papua New Guinea,Tahiti,Tahiti,Teaonui Tehau,90
Paraguay,Ecuador,Paraguay,Bruno Valdez,11
Paraguay,Ecuador,Paraguay,Júnior Alonso,65
Paraguay,Ecuador,Ecuador,Felipe Caicedo,69
Qatar,Iran,Iran,Mehdi Taremi,52
Syria,Uzbekistan,Syria,Omar Khribin,90
Thailand,Saudi Arabia,Saudi Arabia,Mohammad Al-Sahlawi,26
Thailand,Saudi Arabia,Saudi Arabia,Tanaboon Kesarat,84
Thailand,Saudi Arabia,Saudi Arabia,Salman Al-Moasher,90
United Arab Emirates,Japan,Japan,Yuya Kubo,14
United Arab Emirates,Japan,Japan,Yasuyuki Konno,52
Uruguay,Brazil,Uruguay,Edinson Cavani,9
Uruguay,Brazil,Brazil,Paulinho,18
Uruguay,Brazil,Brazil,Paulinho,51
Uruguay,Brazil,Brazil,Neymar,74
Uruguay,Brazil,Brazil,Paulinho,90
Venezuela,Peru,Venezuela,Mikel Villanueva,23
Venezuela,Peru,Venezuela,Rómulo Otero,39
Venezuela,Peru,Peru,André Carrillo,46
Venezuela,Peru,Peru,Paolo Guerrero,64
Austria,Moldova,Austria,Marko Arnautović,75
Austria,Moldova,Austria,Martin Harnik,90
Croatia,Ukraine,Croatia,Nikola Kalinić,38
Georgia,Serbia,Georgia,Nika Kacharava,6
Georgia,Serbia,Serbia,Dušan Tadić,45
Georgia,Serbia,Serbia,Aleksandar Mitrović,64
Georgia,Serbia,Serbia,Mijat Gaćinović,86
Italy,Albania,Italy,Daniele De Rossi,12
Italy,Albania,Italy,Ciro Immobile,71
Kosovo,Iceland,Iceland,Björn Bergmann Sigurðarson,25
Kosovo,Iceland,Iceland,Gylfi Sigurðsson,35
Kosovo,Iceland,Kosovo,Atdhe Nuhiu,52
Liechtenstein,North Macedonia,North Macedonia,Boban Nikolov,43
Liechtenstein,North Macedonia,North Macedonia,Ilija Nestorovski,68
Liechtenstein,North Macedonia,North Macedonia,Ilija Nestorovski,73
Mexico,Costa Rica,Mexico,Javier Hernández,8
Mexico,Costa Rica,Mexico,Néstor Araujo,45
Spain,Israel,Spain,David Silva,13
Spain,Israel,Spain,Vitolo,45
Spain,Israel,Spain,Diego Costa,51
Spain,Israel,Israel,Lior Refaelov,76
Spain,Israel,Spain,Isco,88
Trinidad and Tobago,Panama,Trinidad and Tobago,Kevin Molino,37
Turkey,Finland,Turkey,Cenk Tosun,9
Turkey,Finland,Turkey,Cenk Tosun,13
United States,Honduras,United States,Sebastian Lletget,5
United States,Honduras,United States,Michael Bradley,27
United States,Honduras,United States,Clint Dempsey,32
United States,Honduras,United States,Christian Pulisic,46
United States,Honduras,United States,Clint Dempsey,49
United States,Honduras,United States,Clint Dempsey,54
Belgium,Greece,Greece,Konstantinos Mitroglou,46
Belgium,Greece,Belgium,Romelu Lukaku,89
Bosnia and Herzegovina,Gibraltar,Bosnia and Herzegovina,Vedad Ibišević,4
Bosnia and Herzegovina,Gibraltar,Bosnia and Herzegovina,Vedad Ibišević,43
Bosnia and Herzegovina,Gibraltar,Bosnia and Herzegovina,Avdija Vršajević,52
Bosnia and Herzegovina,Gibraltar,Bosnia and Herzegovina,Edin Višća,56
Bosnia and Herzegovina,Gibraltar,Bosnia and Herzegovina,Ermin Bičakčić,90
Bulgaria,Netherlands,Bulgaria,Spas Delev,5
Bulgaria,Netherlands,Bulgaria,Spas Delev,20
Fiji,New Zealand,New Zealand,Chris Wood,48
Fiji,New Zealand,New Zealand,Marco Rojas,55
Luxembourg,France,France,Olivier Giroud,28
Luxembourg,France,Luxembourg,Aurélien Joachim,34
Luxembourg,France,France,Antoine Griezmann,37
Luxembourg,France,France,Olivier Giroud,77
Portugal,Hungary,Portugal,André Silva,32
Portugal,Hungary,Portugal,Cristiano Ronaldo,36
Portugal,Hungary,Portugal,Cristiano Ronaldo,65
Sweden,Belarus,Sweden,Emil Forsberg,19
Sweden,Belarus,Sweden,Emil Forsberg,49
Sweden,Belarus,Sweden,Marcus Berg,57
Sweden,Belarus,Sweden,Isaac Kiese Thelin,78
Switzerland,Latvia,Switzerland,Josip Drmić,66
Armenia,Kazakhstan,Armenia,Henrikh Mkhitaryan,73
Armenia,Kazakhstan,Armenia,Aras Özbiliz,75
Azerbaijan,Germany,Germany,André Schürrle,19
Azerbaijan,Germany,Azerbaijan,Dimitrij Nazarov,31
Azerbaijan,Germany,Germany,Thomas Müller,36
Azerbaijan,Germany,Germany,Mario Gómez,45
Azerbaijan,Germany,Germany,André Schürrle,81
England,Lithuania,England,Jermain Defoe,22
England,Lithuania,England,Jamie Vardy,66
Malta,Slovakia,Slovakia,Vladimír Weiss,2
Malta,Slovakia,Malta,Jean Paul Farrugia,14
Malta,Slovakia,Slovakia,Ján Greguš,41
Malta,Slovakia,Slovakia,Adam Nemec,84
Montenegro,Poland,Poland,Robert Lewandowski,40
Montenegro,Poland,Montenegro,Stefan Mugoša,63
Montenegro,Poland,Poland,Łukasz Piszczek,82
Northern Ireland,Norway,Northern Ireland,Jamie Ward,2
Northern Ireland,Norway,Northern Ireland,Conor Washington,33
San Marino,Czech Republic,Czech Republic,Antonín Barák,17
San Marino,Czech Republic,Czech Republic,Vladimír Darida,19
San Marino,Czech Republic,Czech Republic,Antonín Barák,24
San Marino,Czech Republic,Czech Republic,Theodor Gebre Selassie,26
San Marino,Czech Republic,Czech Republic,Michael Krmenčík,43
San Marino,Czech Republic,Czech Republic,Vladimír Darida,77
Scotland,Slovenia,Scotland,Chris Martin,88
Australia,United Arab Emirates,Australia,Jackson Irvine,7
Australia,United Arab Emirates,Australia,Mathew Leckie,78
Bolivia,Argentina,Bolivia,Juan Carlos Arce,31
Bolivia,Argentina,Bolivia,Marcelo Martins Moreno,52
Brazil,Paraguay,Brazil,Philippe Coutinho,34
Brazil,Paraguay,Brazil,Neymar,63
Brazil,Paraguay,Brazil,Marcelo,85
Chile,Venezuela,Chile,Alexis Sánchez,4
Chile,Venezuela,Chile,Esteban Paredes,6
Chile,Venezuela,Chile,Esteban Paredes,22
Chile,Venezuela,Venezuela,Salomón Rondón,62
Ecuador,Colombia,Colombia,James Rodríguez,20
Ecuador,Colombia,Colombia,Juan Cuadrado,34
Honduras,Costa Rica,Honduras,Anthony Lozano,34
Honduras,Costa Rica,Costa Rica,Kendall Waston,68
Iran,China PR,Iran,Mehdi Taremi,46
Japan,Thailand,Japan,Shinji Kagawa,8
Japan,Thailand,Japan,Shinji Okazaki,19
Japan,Thailand,Japan,Yuya Kubo,57
Japan,Thailand,Japan,Maya Yoshida,83
New Zealand,Fiji,New Zealand,Ryan Thomas,27
New Zealand,Fiji,New Zealand,Ryan Thomas,68
Panama,United States,United States,Clint Dempsey,39
Panama,United States,Panama,Gabriel Enrique Gómez,43
Peru,Uruguay,Uruguay,Carlos Andrés Sánchez,30
Peru,Uruguay,Peru,Paolo Guerrero,34
Peru,Uruguay,Peru,Edison Flores,62
Saudi Arabia,Iraq,Saudi Arabia,Yahya Al-Shehri,53
South Korea,Syria,South Korea,Hong Jeong-ho,4
Tahiti,Papua New Guinea,Papua New Guinea,Patrick Aisa,62
Tahiti,Papua New Guinea,Papua New Guinea,Raymond Gunemba,74
Tahiti,Papua New Guinea,Tahiti,Tauhiti Keck,90
Trinidad and Tobago,Mexico,Mexico,Diego Reyes,58
Uzbekistan,Qatar,Uzbekistan,Odil Ahmedov,65
Fiji,New Caledonia,New Caledonia,Mone Wamowe,13
Fiji,New Caledonia,New Caledonia,Mone Wamowe,24
Fiji,New Caledonia,Fiji,Saula Waqa,45
Fiji,New Caledonia,Fiji,Roy Krishna,54
Australia,Saudi Arabia,Australia,Tomi Juric,7
Australia,Saudi Arabia,Saudi Arabia,Salem Al-Dawsari,23
Australia,Saudi Arabia,Australia,Tomi Juric,36
Australia,Saudi Arabia,Saudi Arabia,Mohammad Al-Sahlawi,45
Australia,Saudi Arabia,Australia,Tom Rogic,64
Mexico,Honduras,Mexico,Oswaldo Alanís,35
Mexico,Honduras,Mexico,Hirving Lozano,63
Mexico,Honduras,Mexico,Raúl Jiménez,66
United States,Trinidad and Tobago,United States,Christian Pulisic,52
United States,Trinidad and Tobago,United States,Christian Pulisic,62
Andorra,Hungary,Andorra,Marc Rebés,26
Belarus,Bulgaria,Belarus,Mikhail Sivakow,33
Belarus,Bulgaria,Belarus,Pavel Savitsky,80
Belarus,Bulgaria,Bulgaria,Georgi Kostadinov,90
Estonia,Belgium,Belgium,Dries Mertens,31
Estonia,Belgium,Belgium,Nacer Chadli,86
Faroe Islands,Switzerland,Switzerland,Granit Xhaka,36
Faroe Islands,Switzerland,Switzerland,Xherdan Shaqiri,59
Gibraltar,Cyprus,Cyprus,Roy Chipolina,10
Gibraltar,Cyprus,Gibraltar,Anthony Hernandez,30
Gibraltar,Cyprus,Cyprus,Pieros Sotiriou,87
Latvia,Portugal,Portugal,Cristiano Ronaldo,41
Latvia,Portugal,Portugal,Cristiano Ronaldo,63
Latvia,Portugal,Portugal,André Silva,67
Netherlands,Luxembourg,Netherlands,Arjen Robben,21
Netherlands,Luxembourg,Netherlands,Wesley Sneijder,34
Netherlands,Luxembourg,Netherlands,Georginio Wijnaldum,62
Netherlands,Luxembourg,Netherlands,Quincy Promes,70
Netherlands,Luxembourg,Netherlands,Vincent Janssen,84
Solomon Islands,Papua New Guinea,Solomon Islands,Atkin Kaua,12
Solomon Islands,Papua New Guinea,Solomon Islands,Benjamin Totori,37
Solomon Islands,Papua New Guinea,Papua New Guinea,Michael Foster,48
Solomon Islands,Papua New Guinea,Papua New Guinea,Patrick Aisa,61
Solomon Islands,Papua New Guinea,Solomon Islands,Micah Lea'alafa,74
Sweden,France,France,Olivier Giroud,37
Sweden,France,Sweden,Jimmy Durmaz,43
Sweden,France,Sweden,Ola Toivonen,90
Azerbaijan,Northern Ireland,Northern Ireland,Stuart Dallas,90
Germany,San Marino,Germany,Julian Draxler,11
Germany,San Marino,Germany,Sandro Wagner,16
Germany,San Marino,Germany,Sandro Wagner,29
Germany,San Marino,Germany,Amin Younes,38
Germany,San Marino,Germany,Shkodran Mustafi,47
Germany,San Marino,Germany,Julian Brandt,72
Germany,San Marino,Germany,Sandro Wagner,85
Kazakhstan,Denmark,Denmark,Nicolai Jørgensen,27
Kazakhstan,Denmark,Denmark,Christian Eriksen,51
Kazakhstan,Denmark,Kazakhstan,Islambek Kuat,76
Kazakhstan,Denmark,Denmark,Kasper Dolberg,81
Lithuania,Slovakia,Slovakia,Vladimír Weiss,32
Lithuania,Slovakia,Slovakia,Marek Hamšík,58
Lithuania,Slovakia,Lithuania,Arvydas Novikovas,90
Montenegro,Armenia,Montenegro,Fatos Bećiraj,2
Montenegro,Armenia,Montenegro,Stevan Jovetić,28
Montenegro,Armenia,Montenegro,Stevan Jovetić,54
Montenegro,Armenia,Montenegro,Stevan Jovetić,82
Montenegro,Armenia,Armenia,Ruslan Koryan,89
Norway,Czech Republic,Czech Republic,Theodor Gebre Selassie,36
Norway,Czech Republic,Norway,Alexander Søderlund,55
Poland,Romania,Poland,Robert Lewandowski,29
Poland,Romania,Poland,Robert Lewandowski,57
Poland,Romania,Poland,Robert Lewandowski,62
Poland,Romania,Romania,Bogdan Stancu,77
Scotland,England,England,Alex Oxlade-Chamberlain,70
Scotland,England,Scotland,Leigh Griffiths,87
Scotland,England,Scotland,Leigh Griffiths,90
Scotland,England,England,Harry Kane,90
Slovenia,Malta,Slovenia,Josip Iličić,45
Slovenia,Malta,Slovenia,Milivoje Novaković,84
Finland,Ukraine,Ukraine,Yevhen Konoplyanka,51
Finland,Ukraine,Finland,Joel Pohjanpalo,72
Finland,Ukraine,Ukraine,Artem Besyedin,75
Iceland,Croatia,Iceland,Hörður Björgvin Magnússon,90
Israel,Albania,Albania,Armando Sadiku,22
Israel,Albania,Albania,Armando Sadiku,44
Israel,Albania,Albania,Ledian Memushaj,71
Italy,Liechtenstein,Italy,Lorenzo Insigne,35
Italy,Liechtenstein,Italy,Andrea Belotti,52
Italy,Liechtenstein,Italy,Éder,75
Italy,Liechtenstein,Italy,Federico Bernardeschi,83
Italy,Liechtenstein,Italy,Manolo Gabbiadini,90
Kosovo,Turkey,Turkey,Volkan Şen,7
Kosovo,Turkey,Kosovo,Amir Rrahmani,22
Kosovo,Turkey,Turkey,Cengiz Ünder,31
Kosovo,Turkey,Turkey,Burak Yılmaz,61
Kosovo,Turkey,Turkey,Ozan Tufan,82
Mexico,United States,United States,Michael Bradley,6
Mexico,United States,Mexico,Carlos Vela,23
Moldova,Georgia,Moldova,Radu Gînsari,15
Moldova,Georgia,Moldova,Alexandru Dedov,36
Moldova,Georgia,Georgia,Giorgi Merebashvili,66
Moldova,Georgia,Georgia,Valeri Qazaishvili,70
New Caledonia,Fiji,New Caledonia,Emile Ounei,43
New Caledonia,Fiji,Fiji,Epeli Saukuru,66
New Caledonia,Fiji,New Caledonia,Richard Sele,73
North Macedonia,Spain,Spain,David Silva,15
North Macedonia,Spain,Spain,Diego Costa,27
North Macedonia,Spain,North Macedonia,Stefan Ristovski,66
Republic of Ireland,Austria,Austria,Martin Hinteregger,31
Republic of Ireland,Austria,Republic of Ireland,Jonathan Walters,85
Serbia,Wales,Wales,Aaron Ramsey,35
