date,home_team,away_team,team,scorer,minute
10/8/2020,Uruguay,Chile,Uruguay,"Luis Suárez",39
10/8/2020,Uruguay,Chile,Chile,"Alexis Sánchez",54
10/8/2020,Uruguay,Chile,Uruguay,Maxi Gómez,90
10/9/2020,Brazil,Bolivia,Brazil,Marquinhos,16
10/9/2020,Brazil,Bolivia,Brazil,Roberto Firmino,30
10/9/2020,Brazil,Bolivia,Brazil,Roberto Firmino,49
10/9/2020,Brazil,Bolivia,Brazil,José María Carrasco,66
10/9/2020,Brazil,Bolivia,Brazil,Philippe Coutinho,73
10/9/2020,Colombia,Venezuela,Colombia,"Duván Zapata",16
10/9/2020,Colombia,Venezuela,Colombia,Luis Muriel,26
10/9/2020,Colombia,Venezuela,Colombia,Luis Muriel,45
10/10/2020,Faroe Islands,Latvia,Latvia,Jānis Ikaunieks,25
10/10/2020,Faroe Islands,Latvia,Faroe Islands,Odmar Færø,28
10/10/2020,Liechtenstein,Gibraltar,Gibraltar,Tjay De Barr,10
10/10/2020,Luxembourg,Cyprus,Luxembourg,Danel Sinani,12
10/10/2020,Luxembourg,Cyprus,Luxembourg,Danel Sinani,26
10/10/2020,Montenegro,Azerbaijan,Montenegro,Stevan Jovetić,9
10/10/2020,Montenegro,Azerbaijan,Montenegro,Igor Ivanović,71
10/10/2020,Spain,Switzerland,Spain,Mikel Oyarzabal,14
10/10/2020,Ukraine,Germany,Germany,Matthias Ginter,20
10/10/2020,Ukraine,Germany,Germany,Leon Goretzka,49
10/10/2020,Ukraine,Germany,Ukraine,Ruslan Malinovskyi,77
10/11/2020,Armenia,Georgia,Armenia,Khoren Bayramyan,6
10/11/2020,Armenia,Georgia,Georgia,Nika Kacharava,46
10/11/2020,Armenia,Georgia,Georgia,Tornike Okriashvili,74
10/11/2020,Armenia,Georgia,Armenia,Henrikh Mkhitaryan,89
10/11/2020,Croatia,Sweden,Croatia,"Nikola Vlašić",32
10/11/2020,Croatia,Sweden,Sweden,Marcus Berg,66
10/11/2020,Croatia,Sweden,Croatia,Andrej Kramarić,84
10/11/2020,England,Belgium,Belgium,Romelu Lukaku,16
10/11/2020,England,Belgium,England,Marcus Rashford,39
10/11/2020,England,Belgium,England,Mason Mount,65
10/11/2020,Estonia,North Macedonia,North Macedonia,Märten Kuusk,3
10/11/2020,Estonia,North Macedonia,Estonia,Rauno Sappinen,33
10/11/2020,Estonia,North Macedonia,Estonia,Rauno Sappinen,61
10/11/2020,Estonia,North Macedonia,Estonia,Frank Liivak,76
10/11/2020,Estonia,North Macedonia,North Macedonia,Goran Pandev,80
10/11/2020,Estonia,North Macedonia,North Macedonia,Gjoko Zajkov,88
10/11/2020,Finland,Bulgaria,Finland,Robert Taylor,52
10/11/2020,Finland,Bulgaria,Finland,Fredrik Jensen,67
10/11/2020,Greece,Moldova,Greece,Tasos Bakasetas,45
10/11/2020,Greece,Moldova,Greece,Petros Mantalos,50
10/11/2020,Iceland,Denmark,Denmark,"Rúnar Már Sigurjónsson",45
10/11/2020,Iceland,Denmark,Denmark,Christian Eriksen,46
10/11/2020,Iceland,Denmark,Denmark,Robert Skov,61
10/11/2020,Israel,Czech Republic,Czech Republic,Joel Abu Hanna,14
10/11/2020,Israel,Czech Republic,Czech Republic,Matěj Vydra,48
10/11/2020,Israel,Czech Republic,Israel,Eran Zahavi,56
10/11/2020,Kosovo,Slovenia,Slovenia,Haris Vučkić,22
10/11/2020,Lithuania,Belarus,Lithuania,Arvydas Novikovas,7
10/11/2020,Lithuania,Belarus,Belarus,Vitaly Lisakovich,59
10/11/2020,Lithuania,Belarus,Belarus,Alyaksandr Sachywka,66
10/11/2020,Lithuania,Belarus,Lithuania,Karolis Laukžemis,75
10/11/2020,Northern Ireland,Austria,Austria,Michael Gregoritsch,42
10/11/2020,Norway,Romania,Norway,Erling Haaland,13
10/11/2020,Norway,Romania,Norway,Alexander Sørloth,39
10/11/2020,Norway,Romania,Norway,Erling Haaland,64
10/11/2020,Norway,Romania,Norway,Erling Haaland,74
10/11/2020,Russia,Turkey,Russia,Anton Miranchuk,28
10/11/2020,Russia,Turkey,Turkey,Kenan Karaman,62
10/11/2020,Scotland,Slovakia,Scotland,Lyndon Dykes,54
10/11/2020,Serbia,Hungary,Hungary,Norbert Könyves,20
10/13/2020,Bolivia,Argentina,Bolivia,Marcelo Martins Moreno,24
10/13/2020,Bolivia,Argentina,Argentina,Lautaro Martínez,45
10/13/2020,Bolivia,Argentina,Argentina,Joaquín Correa,79
10/13/2020,Chile,Colombia,Colombia,Jefferson Lerma,6
10/13/2020,Chile,Colombia,Chile,Arturo Vidal,37
10/13/2020,Chile,Colombia,Chile,"Alexis Sánchez",41
10/13/2020,Chile,Colombia,Colombia,Radamel Falcao,90
10/13/2020,Ecuador,Uruguay,Ecuador,Moisés Caicedo,14
10/13/2020,Ecuador,Uruguay,Ecuador,Michael Estrada,45
10/13/2020,Ecuador,Uruguay,Ecuador,Michael Estrada,52
10/13/2020,Ecuador,Uruguay,Ecuador,Gonzalo Plata,75
10/13/2020,Ecuador,Uruguay,Uruguay,"Luis Suárez",83
10/13/2020,Ecuador,Uruguay,Uruguay,"Luis Suárez",90
10/13/2020,Faroe Islands,Andorra,Faroe Islands,Klæmint Olsen,19
10/13/2020,Faroe Islands,Andorra,Faroe Islands,Klæmint Olsen,33
10/13/2020,Germany,Switzerland,Switzerland,Mario Gavranović,5
10/13/2020,Germany,Switzerland,Switzerland,Remo Freuler,26
10/13/2020,Germany,Switzerland,Germany,Timo Werner,28
10/13/2020,Germany,Switzerland,Germany,Kai Havertz,55
10/13/2020,Germany,Switzerland,Switzerland,Mario Gavranović,57
10/13/2020,Germany,Switzerland,Germany,Serge Gnabry,60
10/13/2020,Latvia,Malta,Malta,Steve Borg,90
10/13/2020,Montenegro,Luxembourg,Montenegro,Igor Ivanović,34
10/13/2020,Montenegro,Luxembourg,Luxembourg,Edvin Muratović,42
10/13/2020,Montenegro,Luxembourg,Luxembourg,Danel Sinani,86
10/13/2020,Peru,Brazil,Peru,André Carrillo,5
10/13/2020,Peru,Brazil,Brazil,Neymar,28
10/13/2020,Peru,Brazil,Peru,Renato Tapia,59
10/13/2020,Peru,Brazil,Brazil,Richarlison,64
10/13/2020,Peru,Brazil,Brazil,Neymar,83
10/13/2020,Peru,Brazil,Brazil,Neymar,90
10/13/2020,Ukraine,Spain,Ukraine,Viktor Tsyhankov,76
10/13/2020,Venezuela,Paraguay,Paraguay,Gastón Giménez,85
10/14/2020,Belarus,Kazakhstan,Belarus,Yevgeniy Yablonskiy,36
10/14/2020,Belarus,Kazakhstan,Belarus,Roman Yuzepchuk,90
10/14/2020,Bulgaria,Wales,Wales,Jonny Williams,85
10/14/2020,Croatia,France,France,Antoine Griezmann,8
10/14/2020,Croatia,France,Croatia,"Nikola Vlašić",64
10/14/2020,Croatia,France,France,Kylian Mbappé,79
10/14/2020,England,Denmark,Denmark,Christian Eriksen,35
10/14/2020,Estonia,Armenia,Armenia,Kamo Hovhannisyan,8
10/14/2020,Estonia,Armenia,Estonia,Rauno Sappinen,14
10/14/2020,Finland,Republic of Ireland,Finland,Fredrik Jensen,66
10/14/2020,Iceland,Belgium,Belgium,Romelu Lukaku,9
10/14/2020,Iceland,Belgium,Iceland,"Birkir Már Sævarsson",17
10/14/2020,Iceland,Belgium,Belgium,Romelu Lukaku,38
10/14/2020,Italy,Netherlands,Italy,Lorenzo Pellegrini,16
10/14/2020,Italy,Netherlands,Netherlands,Donny van de Beek,25
10/14/2020,Moldova,Slovenia,Slovenia,Sandi Lovrić,8
10/14/2020,Moldova,Slovenia,Slovenia,Haris Vučkić,37
10/14/2020,Moldova,Slovenia,Slovenia,Haris Vučkić,42
10/14/2020,Moldova,Slovenia,Slovenia,Haris Vučkić,55
10/14/2020,North Macedonia,Georgia,Georgia,Khvicha Kvaratskhelia,74
10/14/2020,North Macedonia,Georgia,North Macedonia,Ezgjan Alioski,90
10/14/2020,Norway,Northern Ireland,Norway,Stuart Dallas,68
10/14/2020,Poland,Bosnia and Herzegovina,Poland,Robert Lewandowski,40
10/14/2020,Poland,Bosnia and Herzegovina,Poland,Karol Linetty,45
10/14/2020,Poland,Bosnia and Herzegovina,Poland,Robert Lewandowski,52
10/14/2020,Portugal,Sweden,Portugal,Bernardo Silva,21
10/14/2020,Portugal,Sweden,Portugal,Diogo Jota,44
10/14/2020,Portugal,Sweden,Portugal,Diogo Jota,72
10/14/2020,Romania,Austria,Austria,Alessandro Schöpf,76
10/14/2020,Scotland,Czech Republic,Scotland,Ryan Fraser,6
10/14/2020,Slovakia,Israel,Slovakia,"Marek Hamšík",16
10/14/2020,Slovakia,Israel,Slovakia,Róbert Mak,38
10/14/2020,Slovakia,Israel,Israel,Eran Zahavi,68
10/14/2020,Slovakia,Israel,Israel,Eran Zahavi,76
10/14/2020,Slovakia,Israel,Israel,Eran Zahavi,89
10/14/2020,Turkey,Serbia,Serbia,Sergej Milinković-Savić,22
10/14/2020,Turkey,Serbia,Serbia,Aleksandar Mitrović,49
10/14/2020,Turkey,Serbia,Turkey,Hakan Çalhanoğlu,57
10/14/2020,Turkey,Serbia,Turkey,Ozan Tufan,76
11/12/2020,Argentina,Paraguay,Paraguay,Ángel Romero,21
11/12/2020,Argentina,Paraguay,Argentina,"Nicolás González",41
11/12/2020,Bolivia,Ecuador,Bolivia,Juan Carlos Arce,37
11/12/2020,Bolivia,Ecuador,Ecuador,Beder Caicedo,46
11/12/2020,Bolivia,Ecuador,Ecuador,Ángel Mena,55
11/12/2020,Bolivia,Ecuador,Bolivia,Marcelo Martins Moreno,60
11/12/2020,Bolivia,Ecuador,Ecuador,Carlos Gruezo,88
11/12/2020,Georgia,North Macedonia,North Macedonia,Goran Pandev,56
11/12/2020,Hungary,Iceland,Iceland,Gylfi Sigurðsson,11
11/12/2020,Hungary,Iceland,Hungary,Loïc Négo,88
11/12/2020,Hungary,Iceland,Hungary,Dominik Szoboszlai,90
11/12/2020,Northern Ireland,Slovakia,Slovakia,Juraj Kucka,17
11/12/2020,Northern Ireland,Slovakia,Northern Ireland,Milan Škriniar,88
11/12/2020,Northern Ireland,Slovakia,Slovakia,"Michal Ďuriš",110
11/12/2020,Serbia,Scotland,Scotland,Ryan Christie,52
11/12/2020,Serbia,Scotland,Serbia,Luka Jović,90
11/13/2020,Brazil,Venezuela,Brazil,Roberto Firmino,66
11/13/2020,Chile,Peru,Chile,Arturo Vidal,19
11/13/2020,Chile,Peru,Chile,Arturo Vidal,34
11/13/2020,Colombia,Uruguay,Uruguay,Edinson Cavani,5
11/13/2020,Colombia,Uruguay,Uruguay,"Luis Suárez",54
11/13/2020,Colombia,Uruguay,Uruguay,Darwin Núñez,73
11/14/2020,Cyprus,Luxembourg,Luxembourg,Ioannis Kousoulos,5
11/14/2020,Cyprus,Luxembourg,Cyprus,Grigoris Kastanos,34
11/14/2020,Cyprus,Luxembourg,Cyprus,Grigoris Kastanos,71
11/14/2020,Germany,Ukraine,Ukraine,Roman Yaremchuk,12
11/14/2020,Germany,Ukraine,Germany,Leroy Sané,23
11/14/2020,Germany,Ukraine,Germany,Timo Werner,33
11/14/2020,Germany,Ukraine,Germany,Timo Werner,64
11/14/2020,Latvia,Faroe Islands,Latvia,"Vladimirs Kamešs",59
11/14/2020,Latvia,Faroe Islands,Faroe Islands,Gunnar Vatnhamar,60
11/14/2020,Malta,Andorra,Andorra,Marc Rebés,3
11/14/2020,Malta,Andorra,Malta,Emili García,56
11/14/2020,Malta,Andorra,Malta,Jurgen Degabriele,59
11/14/2020,Malta,Andorra,Malta,Shaun Dimech,90
11/14/2020,Portugal,France,France,N'Golo Kanté,54
11/14/2020,Sweden,Croatia,Sweden,Dejan Kulusevski,36
11/14/2020,Sweden,Croatia,Sweden,Marcus Danielson,45
11/14/2020,Sweden,Croatia,Croatia,Marcus Danielson,82
11/14/2020,Switzerland,Spain,Switzerland,Remo Freuler,26
11/14/2020,Switzerland,Spain,Spain,Gerard Moreno,89
11/15/2020,Albania,Kazakhstan,Albania,Sokol Çikalleshi,16
11/15/2020,Albania,Kazakhstan,Albania,Ardian Ismajli,23
11/15/2020,Albania,Kazakhstan,Kazakhstan,Aybol Abiken,25
11/15/2020,Albania,Kazakhstan,Albania,Rey Manaj,63
11/15/2020,Austria,Northern Ireland,Northern Ireland,Josh Magennis,75
11/15/2020,Austria,Northern Ireland,Austria,Louis Schaub,81
11/15/2020,Austria,Northern Ireland,Austria,Adrian Grbić,87
11/15/2020,Belarus,Lithuania,Belarus,Yevgeniy Yablonskiy,5
11/15/2020,Belarus,Lithuania,Belarus,Max Ebong,20
11/15/2020,Belgium,England,Belgium,Youri Tielemans,10
11/15/2020,Belgium,England,Belgium,Dries Mertens,24
11/15/2020,Bulgaria,Finland,Finland,Teemu Pukki,7
11/15/2020,Bulgaria,Finland,Finland,Robin Lod,45
11/15/2020,Bulgaria,Finland,Bulgaria,Dimitar Iliev,68
11/15/2020,Czech Republic,Israel,Czech Republic,Vladimír Darida,7
11/15/2020,Denmark,Iceland,Denmark,Christian Eriksen,12
11/15/2020,Denmark,Iceland,Iceland,Viðar Örn Kjartansson,85
11/15/2020,Denmark,Iceland,Denmark,Christian Eriksen,90
11/15/2020,Georgia,Armenia,Armenia,Gevorg Ghazaryan,33
11/15/2020,Georgia,Armenia,Georgia,Valeri Qazaishvili,65
11/15/2020,Georgia,Armenia,Armenia,Sargis Adamyan,86
11/15/2020,Hungary,Serbia,Serbia,Nemanja Radonjić,17
11/15/2020,Hungary,Serbia,Hungary,"Zsolt Kalmár",39
11/15/2020,Italy,Poland,Italy,Jorginho,27
11/15/2020,Italy,Poland,Italy,Domenico Berardi,84
11/15/2020,Moldova,Greece,Greece,Kostas Fortounis,32
11/15/2020,Moldova,Greece,Greece,Tasos Bakasetas,41
11/15/2020,Netherlands,Bosnia and Herzegovina,Netherlands,Georginio Wijnaldum,6
11/15/2020,Netherlands,Bosnia and Herzegovina,Netherlands,Georginio Wijnaldum,14
11/15/2020,Netherlands,Bosnia and Herzegovina,Netherlands,Memphis Depay,55
11/15/2020,Netherlands,Bosnia and Herzegovina,Bosnia and Herzegovina,Smail Prevljak,63
11/15/2020,North Macedonia,Estonia,North Macedonia,Ivan Trichkovski,29
11/15/2020,North Macedonia,Estonia,Estonia,Rauno Sappinen,52
11/15/2020,North Macedonia,Estonia,North Macedonia,Vlatko Stojanovski,68
11/15/2020,Slovakia,Scotland,Slovakia,"Ján Greguš",32
11/15/2020,Slovenia,Kosovo,Kosovo,Vedat Muriqi,58
11/15/2020,Slovenia,Kosovo,Slovenia,Jasmin Kurtić,63
11/15/2020,Slovenia,Kosovo,Slovenia,Josip Iličić,90
11/15/2020,Turkey,Russia,Russia,Denis Cheryshev,11
11/15/2020,Turkey,Russia,Turkey,Kenan Karaman,26
11/15/2020,Turkey,Russia,Turkey,Cengiz Ünder,32
11/15/2020,Turkey,Russia,Turkey,Cenk Tosun,52
11/15/2020,Turkey,Russia,Russia,Daler Kuzyayev,57
11/15/2020,Wales,Republic of Ireland,Wales,David Brooks,67
11/17/2020,Andorra,Latvia,Latvia,Antonijs Černomordijs,6
11/17/2020,Andorra,Latvia,Latvia,Jānis Ikaunieks,57
11/17/2020,Andorra,Latvia,Latvia,Jānis Ikaunieks,60
11/17/2020,Andorra,Latvia,Latvia,Vladislavs Gutkovskis,70
11/17/2020,Andorra,Latvia,Latvia,Raimonds Krollis,90
11/17/2020,Croatia,Portugal,Croatia,Mateo Kovačić,29
11/17/2020,Croatia,Portugal,Portugal,Rúben Dias,52
11/17/2020,Croatia,Portugal,Portugal,João Félix,60
11/17/2020,Croatia,Portugal,Croatia,Mateo Kovačić,65
11/17/2020,Croatia,Portugal,Portugal,Rúben Dias,90
11/17/2020,Ecuador,Colombia,Ecuador,Robert Arboleda,7
11/17/2020,Ecuador,Colombia,Ecuador,Ángel Mena,9
11/17/2020,Ecuador,Colombia,Ecuador,Michael Estrada,32
11/17/2020,Ecuador,Colombia,Ecuador,Xavier Arreaga,39
11/17/2020,Ecuador,Colombia,Colombia,James Rodríguez,45
11/17/2020,Ecuador,Colombia,Ecuador,Gonzalo Plata,78
11/17/2020,Ecuador,Colombia,Ecuador,"Pervis Estupiñán",90
11/17/2020,France,Sweden,Sweden,Viktor Claesson,4
11/17/2020,France,Sweden,France,Olivier Giroud,16
11/17/2020,France,Sweden,France,Benjamin Pavard,36
11/17/2020,France,Sweden,France,Olivier Giroud,59
11/17/2020,France,Sweden,Sweden,Robin Quaison,88
11/17/2020,France,Sweden,France,Kingsley Coman,90
11/17/2020,Gibraltar,Liechtenstein,Gibraltar,Noah Frommelt,17
11/17/2020,Gibraltar,Liechtenstein,Liechtenstein,Noah Frick,44
11/17/2020,Malta,Faroe Islands,Malta,Matthew Guillaumier,54
11/17/2020,Malta,Faroe Islands,Faroe Islands,Ári Jónsson,70
11/17/2020,Montenegro,Cyprus,Montenegro,Stevan Jovetić,14
11/17/2020,Montenegro,Cyprus,Montenegro,Aleksandar Boljević,25
11/17/2020,Montenegro,Cyprus,Montenegro,Aleksandar Boljević,28
11/17/2020,Montenegro,Cyprus,Montenegro,"Stefan Mugoša",60
11/17/2020,Paraguay,Bolivia,Paraguay,Ángel Romero,19
11/17/2020,Paraguay,Bolivia,Bolivia,Marcelo Martins Moreno,41
11/17/2020,Paraguay,Bolivia,Bolivia,Boris Céspedes,45
11/17/2020,Paraguay,Bolivia,Paraguay,Alejandro Romero Gamarra,72
11/17/2020,Peru,Argentina,Argentina,"Nicolás González",17
11/17/2020,Peru,Argentina,Argentina,Lautaro Martínez,28
11/17/2020,Spain,Germany,Spain,Álvaro Morata,17
11/17/2020,Spain,Germany,Spain,Ferran Torres,33
11/17/2020,Spain,Germany,Spain,Rodri,38
11/17/2020,Spain,Germany,Spain,Ferran Torres,55
11/17/2020,Spain,Germany,Spain,Ferran Torres,71
11/17/2020,Spain,Germany,Spain,Mikel Oyarzabal,89
11/17/2020,Uruguay,Brazil,Brazil,Arthur Melo,33
11/17/2020,Uruguay,Brazil,Brazil,Richarlison,45
11/17/2020,Venezuela,Chile,Venezuela,Luis Mago,9
11/17/2020,Venezuela,Chile,Chile,Arturo Vidal,15
11/17/2020,Venezuela,Chile,Venezuela,Salomón Rondón,81
11/18/2020,Albania,Belarus,Albania,Sokol Çikalleshi,20
11/18/2020,Albania,Belarus,Albania,Sokol Çikalleshi,27
11/18/2020,Albania,Belarus,Belarus,Maksim Skavysh,35
11/18/2020,Albania,Belarus,Albania,Rey Manaj,44
11/18/2020,Albania,Belarus,Belarus,Max Ebong,80
11/18/2020,Armenia,North Macedonia,Armenia,Hovhannes Hambardzumyan,55
11/18/2020,Austria,Norway,Norway,Ghayas Zahid,61
11/18/2020,Austria,Norway,Austria,Adrian Grbić,90
11/18/2020,Belgium,Denmark,Belgium,Youri Tielemans,3
11/18/2020,Belgium,Denmark,Denmark,Jonas Wind,17
11/18/2020,Belgium,Denmark,Belgium,Romelu Lukaku,56
11/18/2020,Belgium,Denmark,Belgium,Romelu Lukaku,69
11/18/2020,Belgium,Denmark,Denmark,Nacer Chadli,86
11/18/2020,Belgium,Denmark,Belgium,Kevin De Bruyne,87
11/18/2020,Bosnia and Herzegovina,Italy,Italy,Andrea Belotti,22
11/18/2020,Bosnia and Herzegovina,Italy,Italy,Domenico Berardi,68
11/18/2020,Czech Republic,Slovakia,Czech Republic,"Tomáš Souček",17
11/18/2020,Czech Republic,Slovakia,Czech Republic,"Zdeněk Ondrášek",55
11/18/2020,England,Iceland,England,Declan Rice,20
11/18/2020,England,Iceland,England,Mason Mount,24
11/18/2020,England,Iceland,England,Phil Foden,80
11/18/2020,England,Iceland,England,Phil Foden,84
11/18/2020,Hungary,Turkey,Hungary,"Dávid Sigér",57
11/18/2020,Hungary,Turkey,Hungary,Kevin Varga,90
11/18/2020,Israel,Scotland,Israel,Manor Solomon,44
11/18/2020,Kazakhstan,Lithuania,Kazakhstan,Abat Aymbetov,38
11/18/2020,Kazakhstan,Lithuania,Lithuania,Modestas Vorobjovas,40
11/18/2020,Kazakhstan,Lithuania,Lithuania,Arvydas Novikovas,90
11/18/2020,Kosovo,Moldova,Kosovo,Lirim Kastrati,31
11/18/2020,Northern Ireland,Romania,Northern Ireland,Liam Boyce,56
11/18/2020,Northern Ireland,Romania,Romania,Eric Bicfalvi,81
11/18/2020,Poland,Netherlands,Poland,Kamil Jóźwiak,6
11/18/2020,Poland,Netherlands,Netherlands,Memphis Depay,77
11/18/2020,Poland,Netherlands,Netherlands,Georginio Wijnaldum,84
11/18/2020,Serbia,Russia,Serbia,Nemanja Radonjić,10
11/18/2020,Serbia,Russia,Serbia,Luka Jović,25
11/18/2020,Serbia,Russia,Serbia,"Dušan Vlahović",41
11/18/2020,Serbia,Russia,Serbia,Luka Jović,45
11/18/2020,Serbia,Russia,Serbia,Filip Mladenović,64
11/18/2020,Wales,Finland,Wales,Harry Wilson,29
11/18/2020,Wales,Finland,Wales,Daniel James,46
11/18/2020,Wales,Finland,Finland,Teemu Pukki,63
11/18/2020,Wales,Finland,Wales,Kieffer Moore,84
12/4/2020,Qatar,Bangladesh,Qatar,Abdulaziz Hatem,9
12/4/2020,Qatar,Bangladesh,Qatar,Akram Afif,33
12/4/2020,Qatar,Bangladesh,Qatar,Almoez Ali,72
12/4/2020,Qatar,Bangladesh,Qatar,Almoez Ali,78
12/4/2020,Qatar,Bangladesh,Qatar,Akram Afif,90
3/24/2021,Antigua and Barbuda,Montserrat,Montserrat,Lyle Taylor,7
3/24/2021,Antigua and Barbuda,Montserrat,Antigua and Barbuda,Eugene Kirwan,23
3/24/2021,Antigua and Barbuda,Montserrat,Montserrat,Lyle Taylor,26
3/24/2021,Antigua and Barbuda,Montserrat,Antigua and Barbuda,D'Andre Bishop,45
3/24/2021,Belgium,Wales,Wales,Harry Wilson,11
3/24/2021,Belgium,Wales,Belgium,Kevin De Bruyne,22
3/24/2021,Belgium,Wales,Belgium,Thorgan Hazard,28
3/24/2021,Belgium,Wales,Belgium,Romelu Lukaku,73
3/24/2021,Dominican Republic,Dominica,Dominican Republic,Fran Núñez,52
3/24/2021,Estonia,Czech Republic,Estonia,Rauno Sappinen,12
3/24/2021,Estonia,Czech Republic,Czech Republic,Patrik Schick,18
3/24/2021,Estonia,Czech Republic,Czech Republic,"Antonín Barák",27
3/24/2021,Estonia,Czech Republic,Czech Republic,"Tomáš Souček",32
3/24/2021,Estonia,Czech Republic,Czech Republic,"Tomáš Souček",43
3/24/2021,Estonia,Czech Republic,Czech Republic,"Tomáš Souček",48
3/24/2021,Estonia,Czech Republic,Czech Republic,Jakub Jankto,56
3/24/2021,Estonia,Czech Republic,Estonia,Henri Anier,86
3/24/2021,Finland,Bosnia and Herzegovina,Bosnia and Herzegovina,Miralem Pjanić,55
3/24/2021,Finland,Bosnia and Herzegovina,Finland,Teemu Pukki,58
3/24/2021,Finland,Bosnia and Herzegovina,Finland,Teemu Pukki,77
3/24/2021,Finland,Bosnia and Herzegovina,Bosnia and Herzegovina,Miroslav Stevanović,84
3/24/2021,France,Ukraine,France,Antoine Griezmann,19
3/24/2021,France,Ukraine,Ukraine,Serhiy Sydorchuk,57
3/24/2021,Gibraltar,Norway,Norway,Alexander Sørloth,43
3/24/2021,Gibraltar,Norway,Norway,Kristian Thorstvedt,45
3/24/2021,Gibraltar,Norway,Norway,Jonas Svensson,57
3/24/2021,Guatemala,Cuba,Guatemala,Luis Martínez,59
3/24/2021,Latvia,Montenegro,Latvia,Jānis Ikaunieks,40
3/24/2021,Latvia,Montenegro,Montenegro,Stevan Jovetić,41
3/24/2021,Latvia,Montenegro,Montenegro,Stevan Jovetić,83
3/24/2021,Malta,Russia,Russia,Artem Dzyuba,23
3/24/2021,Malta,Russia,Russia,"Mário Fernandes",35
3/24/2021,Malta,Russia,Malta,Joseph Mbong,56
3/24/2021,Malta,Russia,Russia,Aleksandr Sobolev,90
3/24/2021,Portugal,Azerbaijan,Portugal,Maksim Medvedev,36
3/24/2021,Saint Kitts and Nevis,Puerto Rico,Saint Kitts and Nevis,Vinceroy Nelson,42
3/24/2021,Serbia,Republic of Ireland,Republic of Ireland,Alan Browne,18
3/24/2021,Serbia,Republic of Ireland,Serbia,"Dušan Vlahović",40
3/24/2021,Serbia,Republic of Ireland,Serbia,Aleksandar Mitrović,69
3/24/2021,Serbia,Republic of Ireland,Serbia,Aleksandar Mitrović,75
3/24/2021,Serbia,Republic of Ireland,Republic of Ireland,James Collins,86
3/24/2021,Slovenia,Croatia,Slovenia,Sandi Lovrić,15
3/24/2021,Suriname,Cayman Islands,Suriname,Shaquille Pinas,22
3/24/2021,Suriname,Cayman Islands,Suriname,Ryan Donk,38
3/24/2021,Suriname,Cayman Islands,Suriname,Gleofilo Vlijter,76
3/24/2021,Turkey,Netherlands,Turkey,Burak Yılmaz,15
3/24/2021,Turkey,Netherlands,Turkey,Burak Yılmaz,34
3/24/2021,Turkey,Netherlands,Turkey,Hakan Çalhanoğlu,46
3/24/2021,Turkey,Netherlands,Netherlands,Davy Klaassen,75
3/24/2021,Turkey,Netherlands,Netherlands,Luuk de Jong,76
3/24/2021,Turkey,Netherlands,Turkey,Burak Yılmaz,81
3/25/2021,Andorra,Albania,Albania,Ermir Lenjani,41
3/25/2021,Bulgaria,Switzerland,Switzerland,Breel Embolo,7
3/25/2021,Bulgaria,Switzerland,Switzerland,Haris Seferovic,10
3/25/2021,Bulgaria,Switzerland,Switzerland,Steven Zuber,13
3/25/2021,Bulgaria,Switzerland,Bulgaria,Kiril Despodov,46
3/25/2021,Canada,Bermuda,Canada,Cyle Larin,19
3/25/2021,Canada,Bermuda,Canada,Cyle Larin,27
3/25/2021,Canada,Bermuda,Canada,Richie Laryea,53
3/25/2021,Canada,Bermuda,Bermuda,Kane Crichlow,63
3/25/2021,Canada,Bermuda,Canada,Cyle Larin,69
3/25/2021,Canada,Bermuda,Canada,Theo Corbeanu,81
3/25/2021,Curaçao,Saint Vincent and the Grenadines,Curaçao,Juninho Bacuna,1
3/25/2021,Curaçao,Saint Vincent and the Grenadines,Curaçao,Anthony van den Hurk,17
3/25/2021,Curaçao,Saint Vincent and the Grenadines,Curaçao,Juninho Bacuna,35
3/25/2021,Curaçao,Saint Vincent and the Grenadines,Curaçao,Jarchinio Antonia,45
3/25/2021,Curaçao,Saint Vincent and the Grenadines,Curaçao,Elson Hooi,87
3/25/2021,El Salvador,Grenada,El Salvador,Gerson Mayen,23
3/25/2021,El Salvador,Grenada,El Salvador,David Rugamas,46
3/25/2021,England,San Marino,England,James Ward-Prowse,14
3/25/2021,England,San Marino,England,Dominic Calvert-Lewin,21
3/25/2021,England,San Marino,England,Raheem Sterling,31
3/25/2021,England,San Marino,England,Dominic Calvert-Lewin,53
3/25/2021,England,San Marino,England,Ollie Watkins,83
3/25/2021,Germany,Iceland,Germany,Leon Goretzka,3
3/25/2021,Germany,Iceland,Germany,Kai Havertz,7
3/25/2021,Germany,Iceland,Germany,İlkay Gündoğan,56
3/25/2021,Haiti,Belize,Haiti,Ricardo Adé,50
3/25/2021,Haiti,Belize,Haiti,Steven Séance,81
3/25/2021,Hungary,Poland,Hungary,Roland Sallai,6
3/25/2021,Hungary,Poland,Hungary,"Ádám Szalai",53
3/25/2021,Hungary,Poland,Poland,Krzysztof Piątek,60
3/25/2021,Hungary,Poland,Poland,Kamil Jóźwiak,61
3/25/2021,Hungary,Poland,Hungary,"Willi Orbán",78
3/25/2021,Hungary,Poland,Poland,Robert Lewandowski,83
3/25/2021,Israel,Denmark,Denmark,Martin Braithwaite,13
3/25/2021,Israel,Denmark,Denmark,Jonas Wind,67
3/25/2021,Italy,Northern Ireland,Italy,Domenico Berardi,14
